Accession	100SeedWeightCVARS2016	seedmass	Average10seedslength_mm	Average10seedswidth_mm	width2 	denominator	density
IT95K-1491	17.43	0.1743	6.8	5.59	31.2481	166.8869623777	0.0010444195
IT95M-190	19.56	0.1956	9.02	5.55	30.8025	218.213886891	0.0008963683
IT96D-610	16.43	0.1643	7.13	5.23	27.3529	153.1732012302	0.0010726419
IT97K-207-15	25.95	0.2595	8.92	6.48	41.9904	294.1743127197	0.00088213
IT97K-207-21	23.32	0.2332	9.1	5.2	27.04	193.2582136782	0.0012066758
IT97K-461-4	23.4	0.234	8.83	5.45	29.7025	205.9887914136	0.0011359841
IT97K-499-35-1-1	16.59	0.1659	6.74	5.27	27.7729	147.018168556	0.001128432
IT97K-499-39-1-1	16.37	0.1637	7.1	4.73	22.3729	124.7586054461	0.0013121339
IT97K-556-6	19.98	0.1998	7.82	5.81	33.7561	207.3236753379	0.0009637105
IT97K-569-9	15.21	0.1521	6.57	4.27	18.2329	94.0829661593	0.0016166582
IT98D-1399	16.97	0.1697	7.33	5.04	25.4016	146.2362120073	0.0011604513
IT98K-1111-1	17.35	0.1735	6.71	5.36	28.7296	151.4056147542	0.0011459284
IT98K-128-4	17.58	0.1758	7.45	5.15	26.5225	155.1888847759	0.0011328131
IT98K-205-8	14.86	0.1486	7.38	5.27	27.7729	160.9783507334	0.0009231055
IT98K-428-2	18.69	0.1869	8.13	5.18	26.8324	171.3325767347	0.0010908608
IT98K-498-1	20.15	0.2015	7.69	4.91	24.1081	145.6059778905	0.0013838718
IT98K-555-1	19.73	0.1973	7.63	5.71	32.6041	195.3829379779	0.0010098118
IT98K-589-2	17.78	0.1778	7.26	4.86	23.6196	134.6787387409	0.0013201787
IT99K-124-5	21.62	0.2162	7.63	6.03	36.3609	217.8958925264	0.000992217
KVx-396-4-5-20	13.82	0.1382	6.61	5.18	26.8324	139.2999178618	0.000992104
KVx-403-P-20-T	16.8	0.168	6.64	4.8	23.04	120.1546092663	0.0013981985
KVx-421-25	19.54	0.1954	8.35	5.6	31.36	205.6612214746	0.0009501062
KVx-525	15.04	0.1504	7	4.52	20.4304	112.3219904623	0.0013390076
KVx-61-1-1	16.72	0.1672	7.74	5.32	28.3024	172.0497740632	0.0009718118
Lori_Niebe	27.55	0.2755	8.9	6.73	45.2929	316.599348227	0.000870185
Lyg_321-2	16.4	0.164	7.85	4.5	20.25	124.8488555491	0.0013135883
Massava-11	13.51	0.1351	6.47	4.6	21.16	107.5250926396	0.0012564509
Melakh	20.35	0.2035	7.76	4.5	20.25	123.4174673963	0.0016488752
Montiero	29.58	0.2958	10.64	6.08	36.9664	308.9147659813	0.0009575457
Mougne	15.18	0.1518	7.88	4.8	23.04	142.5931206353	0.0010645675
Mouride	14.4	0.144	6.07	4.35	18.9225	90.2104992536	0.0015962665
Moussa_Local	19.93	0.1993	6.8	5.01	25.1001	134.0522925994	0.0014867332
Muinana-Lawe	16.14	0.1614	6.79	5.02	25.2004	134.390042084	0.0012009818
NamuesseD	14.45	0.1445	6.03	5.04	25.4016	120.3007310238	0.0012011565
N'diambour	15.34	0.1534	7.18	4.53	20.5209	115.7206140897	0.0013256065
